task_id,state_turn,guesser_log_index,exact_match,prefix_match,subsequence_match,overlap_count,actor_tool_count,speculator_tool_count,actor_tools,speculator_tools
0,2,0,False,True,True,0,1,0,"[""find_user_id_by_name_zip""]",[]
0,6,1,False,True,True,0,6,0,"[""get_user_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details""]",[]
0,20,2,True,True,True,0,0,0,[],[]
0,22,3,False,False,False,2,2,4,"[""get_product_details"", ""get_product_details""]","[""get_product_details"", ""get_product_details"", ""get_product_details"", ""exchange_delivered_order_items""]"
0,28,4,False,True,True,0,1,0,"[""exchange_delivered_order_items""]",[]
0,32,5,True,True,True,0,0,0,[],[]
1,2,0,True,True,True,1,1,1,"[""find_user_id_by_email""]","[""find_user_id_by_email""]"
1,6,1,True,True,True,1,1,1,"[""find_user_id_by_name_zip""]","[""find_user_id_by_name_zip""]"
1,10,2,False,True,True,0,6,0,"[""get_user_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details""]",[]
1,24,3,False,True,True,0,2,0,"[""get_product_details"", ""get_product_details""]",[]
1,30,4,False,False,False,0,0,1,[],"[""exchange_delivered_order_items""]"
1,32,5,False,False,False,1,1,3,"[""exchange_delivered_order_items""]","[""exchange_delivered_order_items"", ""exchange_delivered_order_items"", ""transfer_to_human_agents""]"
1,36,6,True,True,True,0,0,0,[],[]
2,2,0,False,True,True,0,3,0,"[""find_user_id_by_name_zip"", ""list_all_product_types"", ""get_product_details""]",[]
2,10,1,True,True,True,0,0,0,[],[]
2,12,2,False,True,True,0,6,0,"[""get_user_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details""]",[]
2,26,3,True,True,True,0,0,0,[],[]
2,28,4,False,True,True,0,1,0,"[""return_delivered_order_items""]",[]
2,32,5,True,True,True,0,0,0,[],[]
3,2,0,False,False,False,3,3,4,"[""find_user_id_by_name_zip"", ""list_all_product_types"", ""get_product_details""]","[""find_user_id_by_email"", ""find_user_id_by_name_zip"", ""list_all_product_types"", ""get_product_details""]"
3,10,1,False,True,True,0,7,0,"[""get_user_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""think""]",[]
3,26,2,False,False,False,0,0,1,[],"[""modify_pending_order_items""]"
3,28,3,False,False,False,1,1,2,"[""modify_pending_order_items""]","[""modify_pending_order_items"", ""get_order_details""]"
3,32,4,True,True,True,0,0,0,[],[]
4,2,0,False,False,False,1,3,2,"[""find_user_id_by_name_zip"", ""list_all_product_types"", ""get_product_details""]","[""find_user_id_by_email"", ""find_user_id_by_name_zip""]"
4,10,1,True,True,True,0,0,0,[],[]
4,12,2,False,False,False,2,2,5,"[""get_user_details"", ""get_order_details""]","[""get_user_details"", ""get_order_details"", ""get_order_details"", ""get_order_details"", ""get_order_details""]"
4,18,3,True,True,True,0,0,0,[],[]
4,20,4,False,True,True,0,1,0,"[""modify_pending_order_items""]",[]
4,24,5,True,True,True,0,0,0,[],[]
5,2,0,False,True,True,0,1,0,"[""find_user_id_by_name_zip""]",[]
5,6,1,False,True,True,0,1,0,"[""find_user_id_by_email""]",[]
5,10,2,True,True,True,1,1,1,"[""transfer_to_human_agents""]","[""transfer_to_human_agents""]"
6,2,0,False,True,True,0,1,0,"[""find_user_id_by_name_zip""]",[]
6,6,1,True,True,True,1,1,1,"[""find_user_id_by_email""]","[""find_user_id_by_email""]"
6,10,2,False,True,True,0,1,0,"[""find_user_id_by_name_zip""]",[]
